Month,Height (CM),Deer Count,Precipitation,Temperature (Celsius),
1,12.83882,0,6.730515,8.253223,
2,32.380955,1,9.956156,6.644308,
3,31.657719,2,11.171998,13.261159,
4,26.591444,3,13.900003,19.419513,
5,18.971458,4,12.952075,25.35322,
6,8.811458,5,8.293401,31.74124,
7,0,4,5.32262,22.881919,
8,0,3,1.467883,19.538506,
9,0,2,0,19.828101,
10,0,1,1.233066,11.39189,
11,9.508873,0,2.278368,5.612189,
12,25.616125,1,4.083503,4.49084,
13,42.273263,2,6.728976,5.889227,
14,55.385394,3,11.47175,6.970476,
15,53.275101,4,13.014397,10.856266,
16,43.115338,5,12.798284,23.20354,
17,30.418652,6,12.988258,20.877961,
18,15.178652,7,8.79353,28.516613,
19,0,6,3.63674,28.820869,
20,0,5,3.55707,25.115929,
21,0,4,0.215509,14.66532,
22,0,3,1.660036,7.260217,
23,1.565996,2,0.960726,2.735502,
24,5.574807,1,4.578739,0.040309,
25,21.591747,2,7.292857,6.487641,
26,36.794169,3,10.245357,2.527722,
27,43.858108,4,13.628863,7.542373,
28,33.752087,5,11.26463,18.089625,
29,21.085111,6,11.37099,18.631422,
30,5.845111,7,9.561783,29.916628,
31,0,6,7.159439,27.757098,
32,0,5,3.660249,24.215681,
33,0,4,1.255611,21.274473,
34,0,3,1.044045,11.668646,
35,2.771392,2,1.530739,2.962797,
36,8.587282,1,5.833894,0.259527,
37,19.844608,2,8.873041,0.546782,
38,36.391684,3,9.595907,5.733164,
39,28.845223,4,12.298985,17.692409,
40,18.96329,5,12.792938,16.00651,
41,6.263305,6,10.155231,25.429209,
42,0,5,6.702262,22.879359,
43,0,4,5.648849,23.65259,
44,0,3,3.929876,23.735288,
45,0,2,2.455488,14.930878,
46,0,1,2.027035,10.354008,
47,9.159145,0,3.973798,7.521248,
48,19.080767,1,6.418547,9.11377,
49,36.745364,2,7.978967,6.04144,
50,52.18164,3,12.451968,3.226666,
51,45.685685,4,10.992031,14.071138,
52,35.532647,5,14.114788,20.086123,
53,22.836826,6,10.708632,20.738326,
54,7.596826,7,9.186756,30.33123,
55,0,6,6.800962,24.041371,
56,0,5,1.016132,28.045112,
57,0,4,1.776136,21.971707,
58,0,3,1.372809,9.088851,
