Method,Global Size,Local Work Group Size,Speedup
ArrayMult,32768,32,55.426345
ArrayMult,65536,32,98.281690
ArrayMult,131072,32,182.955665
ArrayMult,262144,32,323.400203
ArrayMult,524288,32,692.181458
ArrayMult,1048576,32,1101.297305
ArrayMult,2097152,32,1455.241891
ArrayMult,4194304,32,1765.756572
ArrayMult,8388608,32,2042.726613
ArrayMult,32768,64,85.505681
ArrayMult,65536,64,103.682750
ArrayMult,131072,64,207.799126
ArrayMult,262144,64,316.444251
ArrayMult,524288,64,677.558511
ArrayMult,1048576,64,1020.925260
ArrayMult,2097152,64,1458.026211
ArrayMult,4194304,64,1846.559964
ArrayMult,8388608,64,2034.233661
ArrayMult,32768,128,78.502774
ArrayMult,65536,128,118.842835
ArrayMult,131072,128,159.143477
ArrayMult,262144,128,314.308529
ArrayMult,524288,128,623.920639
ArrayMult,1048576,128,1031.899473
ArrayMult,2097152,128,1437.074802
ArrayMult,4194304,128,1757.468490
ArrayMult,8388608,128,2042.349632
ArrayMult,32768,256,63.705487
ArrayMult,65536,256,103.944551
ArrayMult,131072,256,213.679728
ArrayMult,262144,256,358.720536
ArrayMult,524288,256,714.507853
ArrayMult,1048576,256,1084.898398
ArrayMult,2097152,256,1525.507666
ArrayMult,4194304,256,1820.801650
ArrayMult,8388608,256,1978.923678
ArrayMultAdd,32768,32,57.000812
ArrayMultAdd,65536,32,126.509071
ArrayMultAdd,131072,32,183.888437
ArrayMultAdd,262144,32,339.697654
ArrayMultAdd,524288,32,581.960908
ArrayMultAdd,1048576,32,1004.738265
ArrayMultAdd,2097152,32,1231.050273
ArrayMultAdd,4194304,32,1443.025110
ArrayMultAdd,8388608,32,5735.161141
ArrayMultAdd,32768,64,64.378096
ArrayMultAdd,65536,64,125.342350
ArrayMultAdd,131072,64,224.029809
ArrayMultAdd,262144,64,393.844379
ArrayMultAdd,524288,64,685.301687
ArrayMultAdd,1048576,64,1781.274950
ArrayMultAdd,2097152,64,3101.158155
ArrayMultAdd,4194304,64,4662.508434
ArrayMultAdd,8388608,64,1604.756530
ArrayMultAdd,32768,128,62.470569
ArrayMultAdd,65536,128,101.339420
ArrayMultAdd,131072,128,262.652495
ArrayMultAdd,262144,128,401.359586
ArrayMultAdd,524288,128,595.534130
ArrayMultAdd,1048576,128,974.606305
ArrayMultAdd,2097152,128,2908.808460
ArrayMultAdd,4194304,128,1460.152967
ArrayMultAdd,8388608,128,6234.208819
ArrayMultAdd,32768,256,51.205201
ArrayMultAdd,65536,256,119.542159
ArrayMultAdd,131072,256,272.073598
ArrayMultAdd,262144,256,371.531912
ArrayMultAdd,524288,256,632.493769
ArrayMultAdd,1048576,256,953.091483
ArrayMultAdd,2097152,256,3004.261817
ArrayMultAdd,4194304,256,4661.295933
ArrayMultAdd,8388608,256,6880.470738
ArrayMultReduce,32768,32,71.044353
ArrayMultReduce,65536,32,105.974486
ArrayMultReduce,131072,32,238.719853
ArrayMultReduce,262144,32,422.659519
ArrayMultReduce,524288,32,780.907470
ArrayMultReduce,1048576,32,1336.228604
ArrayMultReduce,2097152,32,2328.619063
ArrayMultReduce,4194304,32,2663.445871
ArrayMultReduce,8388608,32,3675.818739
ArrayMultReduce,32768,64,53.635557
ArrayMultReduce,65536,64,130.791061
ArrayMultReduce,131072,64,306.133555
ArrayMultReduce,262144,64,392.627451
ArrayMultReduce,524288,64,748.707974
ArrayMultReduce,1048576,64,1237.323516
ArrayMultReduce,2097152,64,3009.154513
ArrayMultReduce,4194304,64,4739.364040
ArrayMultReduce,8388608,64,6132.709287
ArrayMultReduce,32768,128,68.355244
ArrayMultReduce,65536,128,118.375088
ArrayMultReduce,131072,128,248.175210
ArrayMultReduce,262144,128,485.583139
ArrayMultReduce,524288,128,723.606994
ArrayMultReduce,1048576,128,1135.746842
ArrayMultReduce,2097152,128,1838.740874
ArrayMultReduce,4194304,128,2543.571731
ArrayMultReduce,8388608,128,7611.034293
ArrayMultReduce,32768,256,68.409757
ArrayMultReduce,65536,256,128.163709
ArrayMultReduce,131072,256,229.611696
ArrayMultReduce,262144,256,412.888268
ArrayMultReduce,524288,256,872.349241
ArrayMultReduce,1048576,256,1198.131576
ArrayMultReduce,2097152,256,1798.096231
ArrayMultReduce,4194304,256,5047.947209
ArrayMultReduce,8388608,256,2856.077475


ArrayMult
,32,64,128,256
32768,55.426345,85.505681,78.502774,63.705487
65536,98.281690,103.682750,118.842835,103.944551
131072,182.955665,207.799126,159.143477,213.679728
262144,323.400203,316.444251,314.308529,358.720536
524288,692.181458,677.558511,623.920639,714.507853
1048576,1101.297305,1020.925260,1031.899473,1084.898398
2097152,1455.241891,1458.026211,1437.074802,1525.507666
4194304,1765.756572,1846.559964,1757.468490,1820.801650
8388608,2042.726613,2034.233661,2042.349632,1978.923678

,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
32,55.426345,98.281690,182.955665,323.400203,692.181458,1101.297305,1455.241891,1765.756572,2042.726613
64,85.505681,103.682750,207.799126,316.444251,677.558511,1020.925260,1458.026211,1846.559964,2034.233661
128,78.502774,118.842835,159.143477,314.308529,623.920639,1031.899473,1437.074802,1757.468490,2042.349632
256,63.705487,103.944551,213.679728,358.720536,714.507853,1084.898398,1525.507666,1820.801650,1978.923678

ArrayMultAdd
,32,64,128,256
32768,57.000812,64.378096,62.470569,51.205201
65536,126.509071,125.342350,101.339420,119.542159
131072,183.888437,224.029809,262.652495,272.073598
262144,339.697654,393.844379,401.359586,371.531912
524288,581.960908,685.301687,595.534130,632.493769
1048576,1004.738265,1781.274950,974.606305,953.091483
2097152,1231.050273,3101.158155,2908.808460,3004.261817
4194304,1443.025110,4662.508434,1460.152967,4661.295933
8388608,5735.161141,1604.756530,6234.208819,6880.470738

