threads,node count,performance
1,4,7.901231
1,16,7.447273
1,64,6.781311
1,256,6.773057
1,1024,6.905814
1,4096,6.952596
1,16384,6.855463
1,65536,0.000000
2,4,8.943536
2,16,9.937888
2,64,13.710552
2,256,13.497096
2,1024,13.321853
2,4096,13.505829
2,16384,13.419598
2,65536,0.000000
3,4,8.260189
3,16,15.595491
3,64,19.613195
3,256,19.962844
3,1024,19.324769
3,4096,19.838360
3,16384,19.680505
3,65536,0.000000
4,4,10.774403
4,16,19.301815
4,64,20.160457
4,256,25.950124
4,1024,25.374533
4,4096,26.182778
4,16384,25.737037
4,65536,0.000000
5,4,9.367691
5,16,23.127650
5,64,23.482199
5,256,24.295142
5,1024,23.952435
5,4096,25.609979
5,16384,27.458265
5,65536,0.000000
6,4,8.097162
6,16,26.831570
6,64,27.742219
6,256,27.705534
6,1024,27.222272
6,4096,29.617780
6,16384,30.103237
6,65536,0.000000
7,4,9.313140
7,16,29.896058
7,64,32.175204
7,256,32.301024
7,1024,31.392683
7,4096,32.620341
7,16384,33.084854
7,65536,0.000000
8,4,0.539120
8,16,7.203760
8,64,30.696824
8,256,36.719927
8,1024,28.242667
8,4096,35.454702
8,16384,36.387685
8,65536,0.000000

,4 nodes,16 nodes,64 nodes,256 nodes,1024 nodes,4096 nodes,16384 nodes,65536 nodes
1 threads,7.901231,7.447273,6.781311,6.773057,6.905814,6.952596,6.855463,0.000000
2 threads,8.943536,9.937888,13.710552,13.497096,13.321853,13.505829,13.419598,0.000000
3 threads,8.260189,15.595491,19.613195,19.962844,19.324769,19.838360,19.680505,0.000000
4 threads,10.774403,19.301815,20.160457,25.950124,25.374533,26.182778,25.737037,0.000000
5 threads,9.367691,23.127650,23.482199,24.295142,23.952435,25.609979,27.458265,0.000000
6 threads,8.097162,26.831570,27.742219,27.705534,27.222272,29.617780,30.103237,0.000000
7 threads,9.313140,29.896058,32.175204,32.301024,31.392683,32.620341,33.084854,0.000000
8 threads,0.539120,7.203760,30.696824,36.719927,28.242667,35.454702,36.387685,0.000000

,1 threads,2 threads,3 threads,4 threads,5 threads,6 threads,7 threads,8 threads
4 nodes,7.901231,8.943536,8.260189,10.774403,9.367691,8.097162,9.313140,0.539120
16 nodes,7.447273,9.937888,15.595491,19.301815,23.127650,26.831570,29.896058,7.203760
64 nodes,6.781311,13.710552,19.613195,20.160457,23.482199,27.742219,32.175204,30.696824
256 nodes,6.773057,13.497096,19.962844,25.950124,24.295142,27.705534,32.301024,36.719927
1024 nodes,6.905814,13.321853,19.324769,25.374533,23.952435,27.222272,31.392683,28.242667
4096 nodes,6.952596,13.505829,19.838360,26.182778,25.609979,29.617780,32.620341,35.454702
16384 nodes,6.855463,13.419598,19.680505,25.737037,27.458265,30.103237,33.084854,36.387685
65536 nodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000

